instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
pace16tw_contiki_collect_send_ack,0,0,1,-1,0,0,0,0.04,0.00,0.00
pace16tw_contiki_collect_send_next_packet,0,0,1,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_collect_send_queued_packet,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_contikimac_input_packet,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_contikimac_powercycle,34,53,5,5,0,2292,2298,54.29,54.21,0.05
pace16tw_contiki_ctk_ctk_menu_add,0,0,2,-1,0,0,0,0.03,0.00,0.00
pace16tw_contiki_cxmac_input_packet,0,0,3,-1,0,0,0,0.03,0.00,0.00
pace16tw_contiki_dhcpc_dhcpc_init,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_dhcpc_dhcpc_request,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_dhcpc_handle_dhcp,52,83,6,6,0,6203,6210,986.03,985.75,0.20
pace16tw_contiki_httpd-cfs_send_file,7,11,3,3,0,8,12,0.02,0.00,0.00
pace16tw_contiki_httpd-cfs_send_headers,0,0,3,-1,0,0,0,0.04,0.00,0.00
pace16tw_contiki_ifft_ifft,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_ircc_handle_connection,32,54,4,4,0,164,169,3.35,3.31,0.00
pace16tw_contiki_ircc_list_channel,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_lpp_dutycycle,16,26,5,5,0,216,222,0.43,0.41,0.00
pace16tw_contiki_lpp_init,0,0,1,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_lpp_send_packet,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_lpp_send_probe,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_nullrdc_packet_input,0,0,3,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_polite-announcement_send_timer,0,0,2,-1,0,0,0,0.03,0.00,0.00
pace16tw_contiki_powertrace_add_stats,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_powertrace_powertrace_print,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_process_exit_process,0,0,3,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_profile_profile_episode_start,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_psock_psock_generator_send,12,18,4,4,0,126,131,0.11,0.10,0.00
pace16tw_contiki_psock_psock_readto,10,15,3,3,0,20,24,0.05,0.01,0.00
pace16tw_contiki_ringbuf_ringbuf_put,0,0,2,-1,0,0,0,0.01,0.00,0.00
pace16tw_contiki_route-discovery_route_discovery_discover,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_rudolph1_rudolph1_open,0,0,1,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_rudolph1_write_data,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_contiki_serial-line_process_thread_serial_line_process,14,22,4,4,0,235,240,0.23,0.21,0.00
pace16tw_contiki_shell-base64_base64_add_char,0,0,2,-1,0,0,0,0.03,0.00,0.00
pace16tw_contiki_shell-collect-view_process_thread_collect_view_data_process,0,0,2,-1,0,0,0,0.02,0.00,0.00
